crime,number,date,location,beat,neighborhood,npu,lat,long,Month,Day,Year
LARCENY-NON VEHICLE,162991899,10/25/2016,305 JOSEPH E LOWERY BLVD NW,102,Vine City,L,33.763000000000005,-84.41736,10,25,2016
LARCENY-FROM VEHICLE,162991910,10/25/2016,3735 ATLANTA INDUSTRIAL PKWY NW,114,Atlanta Industrial Park,G,33.801590000000004,-84.49467,10,25,2016
LARCENY-FROM VEHICLE,162991934,10/25/2016,685 11TH ST NW,501,Home Park,E,33.78332,-84.40974,10,25,2016
LARCENY-NON VEHICLE,162991955,10/25/2016,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619,10,25,2016
LARCENY-NON VEHICLE,162991996,10/25/2016,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,10,25,2016
BURGLARY-RESIDENCE,162991999,10/25/2016,1089 SMITH ST SW,302,Pittsburgh,V,33.725120000000004,-84.40101,10,25,2016
BURGLARY-RESIDENCE,162992000,10/25/2016,1751 FLAT SHOALS RD SE,612,East Atlanta,W,33.730509999999995,-84.33045,10,25,2016
ROBBERY-PEDESTRIAN,162992079,10/25/2016,682 AMSTERDAM AVE NE,213,Morningside/Lenox Park,F,33.78823,-84.36457,10,25,2016
LARCENY-NON VEHICLE,162992096,10/25/2016,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,10,25,2016
LARCENY-FROM VEHICLE,162992121,10/25/2016,1700 NORTHSIDE DR NW,207,Berkeley Park,D,33.80077,-84.40869,10,25,2016
LARCENY-FROM VEHICLE,162992141,10/25/2016,250 PHARR RD NE,206,Buckhead Village,B,33.83732,-84.3786,10,25,2016
AUTO THEFT,162992152,10/25/2016,3030 CONTINENTAL COLONY PKWY SW,411,Greenbriar,R,33.68363,-84.49288,10,25,2016
LARCENY-NON VEHICLE,162992264,10/25/2016,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71347,-84.39079,10,25,2016
LARCENY-NON VEHICLE,162992292,10/25/2016,1011 MONROE DR NE,601,Virginia Highland,F,33.782340000000005,-84.36813000000001,10,25,2016
LARCENY-FROM VEHICLE,162992297,10/25/2016,706 CEDAR AVE NW,109,Center Hill,J,33.7743,-84.46514,10,25,2016
LARCENY-FROM VEHICLE,162992308,10/25/2016,364 RIDGECREST RD NE,608,Lake Claire,N,33.764590000000005,-84.31709000000001,10,25,2016
BURGLARY-RESIDENCE,162992528,10/25/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74173,-84.34749000000001,10,25,2016
LARCENY-FROM VEHICLE,162992539,10/25/2016,1800 HOWELL MILL RD NW @CK,204,Underwood Hills,D,33.804790000000004,-84.41455,10,25,2016
LARCENY-NON VEHICLE,162992549,10/25/2016,3393 PEACHTREE RD NE @LENOX SQUARE,210,Lenox,B,33.846759999999996,-84.36211999999999,10,25,2016
BURGLARY-RESIDENCE,162992584,10/25/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74173,-84.34749000000001,10,25,2016
BURGLARY-RESIDENCE,162992627,10/25/2016,1205 METROPOLITAN AVE SE,612,East Atlanta,W,33.74173,-84.34749000000001,10,25,2016
LARCENY-NON VEHICLE,162992655,10/25/2016,2539 PIEDMONT RD NE @TARGET - PIEDMONT,211,Lindbergh/Morosgo,B,33.82403,-84.36328,10,25,2016
LARCENY-NON VEHICLE,162992670,10/25/2016,247 MORELAND AVE SE,606,Reynoldstown,N,33.746990000000004,-84.34958,10,25,2016
LARCENY-NON VEHICLE,162992748,10/25/2016,215 FORSYTH ST SW,512,Downtown,M,33.74892,-84.3968,10,25,2016
LARCENY-FROM VEHICLE,162992774,10/25/2016,1175 PEACHTREE ST NE @COLONY SQUARE,502,Midtown,E,33.78751,-84.38263,10,25,2016
LARCENY-FROM VEHICLE,162992844,10/25/2016,185 CENTRAL AVE SW,512,Downtown,M,33.74869,-84.38645,10,25,2016
LARCENY-NON VEHICLE,162992872,10/25/2016,230 18TH ST NW,501,Atlantic Station,E,33.79282,-84.39779,10,25,2016
LARCENY-FROM VEHICLE,162992921,10/25/2016,3092 PIEDMONT RD NE,206,Buckhead Village,B,33.8399,-84.37007,10,25,2016
BURGLARY-RESIDENCE,162992944,10/25/2016,958 CREW ST SW,304,Peoplestown,V,33.72869,-84.38924,10,25,2016
LARCENY-FROM VEHICLE,162992994,10/25/2016,135 EDGEWOOD AVE NE,509,Downtown,M,33.75437,-84.38339,10,25,2016
LARCENY-FROM VEHICLE,162993041,10/25/2016,1968 PEACHTREE RD NW,207,,E,33.81,-84.39583,10,25,2016
LARCENY-NON VEHICLE,162993082,10/25/2016,966 DUNNING ST SE,304,Peoplestown,V,33.72822,-84.38686,10,25,2016
LARCENY-FROM VEHICLE,162993100,10/25/2016,100 BROAD ST,511,Downtown,M,33.75179,-84.39303000000001,10,25,2016
BURGLARY-RESIDENCE,162993106,10/25/2016,1093 WEST AVE SW,302,Pittsburgh,V,33.724940000000004,-84.39593,10,25,2016
BURGLARY-NONRES,162993115,10/25/2016,2300 WILSON DR SW @ADAMS PARK,409,Adams Park,R,33.71482,-84.46459,10,25,2016
AGG ASSAULT,162993141,10/25/2016,4110 CAMPBELLTON RD SW,413,Fairburn,P,33.6946,-84.52295,10,25,2016
ROBBERY-COMMERCIAL,162993152,10/25/2016,807 CASCADE AVE SW,404,Cascade Avenue/Road,S,33.73323,-84.43795,10,25,2016
AGG ASSAULT,162993157,10/25/2016,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,10,25,2016
LARCENY-FROM VEHICLE,162993187,10/25/2016,108 HEMPHILL SCHOOL RD NW,111,Adamsville,H,33.75829,-84.50092,10,25,2016
ROBBERY-PEDESTRIAN,162993205,10/25/2016,329 14TH ST,501,Home Park,E,33.78635,-84.39797,10,25,2016
AGG ASSAULT,162993247,10/25/2016,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671,10,25,2016
LARCENY-FROM VEHICLE,162993248,10/25/2016,826 HAMPTON ST NW,504,Marietta Street Artery,E,33.77755,-84.40768,10,25,2016
LARCENY-NON VEHICLE,162993266,10/25/2016,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,10,25,2016
RAPE,162993272,10/25/2016,OAK ST NW / DONALD LEE HOLLOWELL PKWY NW,512,Downtown,M,33.74816,-84.39459000000001,10,25,2016
LARCENY-FROM VEHICLE,162993285,10/25/2016,909 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77347,-84.35767,10,25,2016
AUTO THEFT,162993400,10/25/2016,245 MEMORIAL DR SE,605,Grant Park,W,33.74677,-84.37969,10,25,2016
LARCENY-NON VEHICLE,162972475,10/24/2016,1218 JOSEPH E BOONE BLVD NW,105,Hunter Hills,K,33.76324,-84.42748,10,24,2016
AUTO THEFT,162980120,10/24/2016,27 BOOKER ST NW,105,Washington Park,K,33.75557,-84.4202,10,24,2016
ROBBERY-PEDESTRIAN,162980148,10/24/2016,1338 MCLENDON AVE NE,608,Candler Park,N,33.76498,-84.34385,10,24,2016
AUTO THEFT,162980155,10/24/2016,1683 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.7083,-84.38035,10,24,2016
AUTO THEFT,162980545,10/24/2016,51 ELLIOT ST ,507,Castleberry Hill,M,33.75322,-84.39820999999999,10,24,2016
LARCENY-FROM VEHICLE,162980584,10/24/2016,333 NELSON ST SW,507,Castleberry Hill,M,33.75158,-84.39883,10,24,2016
LARCENY-FROM VEHICLE,162980605,10/24/2016,2845 VALLEY HEART DR NW,112,Collier Heights,I,33.763259999999995,-84.48085,10,24,2016
LARCENY-FROM VEHICLE,162980615,10/24/2016,276 MEMORIAL DR SW,512,Downtown,M,33.7465,-84.39652,10,24,2016
LARCENY-FROM VEHICLE,162980670,10/24/2016,1176 CHATTAHOOCHEE AVE NW,203,Blandtown,D,33.80058,-84.42560999999999,10,24,2016
LARCENY-FROM VEHICLE,162980676,10/24/2016,765 MCDANIEL ST SW,302,Pittsburgh,V,33.733959999999996,-84.40177,10,24,2016
AUTO THEFT,162980687,10/24/2016,1892 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.80673,-84.41315999999999,10,24,2016
LARCENY-FROM VEHICLE,162980693,10/24/2016,708 KENNOLIA DR SW,404,Westwood Terrace,I,33.735859999999995,-84.4486,10,24,2016
LARCENY-FROM VEHICLE,162980705,10/24/2016,404 FULTON ST SW,303,Mechanicsville,V,33.74074,-84.40047,10,24,2016
LARCENY-NON VEHICLE,162980727,10/24/2016,202 CANDLER RD SE,611,East Lake,O,33.74754,-84.29153000000001,10,24,2016
BURGLARY-RESIDENCE,162980854,10/24/2016,1551 MAYFLOWER AVE SW,403,Cascade Avenue/Road,S,33.727709999999995,-84.43845999999999,10,24,2016
LARCENY-NON VEHICLE,162980865,10/24/2016,1647 MIFFLIN PL NE,213,Morningside/Lenox Park,F,33.799890000000005,-84.35700000000001,10,24,2016
BURGLARY-RESIDENCE,162981057,10/24/2016,539 BAKER CIR NW,109,Center Hill,J,33.77001,-84.45783,10,24,2016
LARCENY-NON VEHICLE,162981073,10/24/2016,267 MARIETTA ST NW,508,Downtown,M,33.760709999999996,-84.39469,10,24,2016
AUTO THEFT,162981085,10/24/2016,1215 GLENWOOD AVE SE,612,East Atlanta,W,33.739909999999995,-84.3477,10,24,2016
LARCENY-FROM VEHICLE,162981089,10/24/2016,89 WOODWARD AVE SE,605,Capitol Gateway,V,33.74555,-84.38495,10,24,2016
LARCENY-FROM VEHICLE,162981127,10/24/2016,309 MOUNT ZION RD SW,311,Hammond Park,X,33.67302,-84.3996,10,24,2016
LARCENY-NON VEHICLE,162981135,10/24/2016,2841 GREENBRIAR PKWY SW @Multiple,411,Greenbriar,R,33.68677,-84.49773,10,24,2016
LARCENY-NON VEHICLE,162981168,10/24/2016,850 OAK ST SW @WEST END MALL,401,West End,T,33.74053,-84.41671,10,24,2016
LARCENY-NON VEHICLE,162981208,10/24/2016,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,208,North Buckhead,B,33.849109999999996,-84.37075,10,24,2016
BURGLARY-RESIDENCE,162981214,10/24/2016,965 HUFF RD NW,203,Blandtown,D,33.78976,-84.41881,10,24,2016
LARCENY-FROM VEHICLE,162981220,10/24/2016,1788 ELLSWORTH INDUSTRIAL BLVD NW,204,Underwood Hills,D,33.80415,-84.42756999999999,10,24,2016
LARCENY-NON VEHICLE,162981232,10/24/2016,115 HILLIARD ST SE ,604,Sweet Auburn,M,33.75141,-84.37677,10,24,2016
LARCENY-NON VEHICLE,162981263,10/24/2016,914 COLLIER RD NW @JADE EAST APARTMENT,205,Wildwood (NPU-C),C,33.80839,-84.41496,10,24,2016
LARCENY-FROM VEHICLE,162981338,10/24/2016,479 JOSEPH E BOONE BLVD NW,103,English Avenue,L,33.7638,-84.40349,10,24,2016
BURGLARY-NONRES,162981358,10/24/2016,757 CLEVELAND AVE SW,309,Perkerson,X,33.681329999999996,-84.41363,10,24,2016
AUTO THEFT,162981392,10/24/2016,2020 BOLTON RD NW,203,Riverside,D,33.81125,-84.47594000000001,10,24,2016
BURGLARY-NONRES,162981411,10/24/2016,3700 CAMPBELLTON RD SW,413,,P,33.68995,-84.50961,10,24,2016
AUTO THEFT,162981414,10/24/2016,499 NORTHSIDE CIR NW,207,Loring Heights,E,33.79742,-84.40671,10,24,2016
BURGLARY-RESIDENCE,162981415,10/24/2016,1776 WARREN CT NW,201,Ridgewood Heights,C,33.82144,-84.44563000000001,10,24,2016
LARCENY-NON VEHICLE,162981432,10/24/2016,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,10,24,2016
LARCENY-FROM VEHICLE,162981459,10/24/2016,3079 CAMPBELLTON RD SW,409,Southwest,R,33.69424,-84.48901,10,24,2016
LARCENY-FROM VEHICLE,162981481,10/24/2016,373 LEGACY DR SW,104,Harris Chiles,T,33.74387,-84.41937,10,24,2016
LARCENY-FROM VEHICLE,162981536,10/24/2016,2425 PEACHTREE RD NE,211,Peachtree Hills,B,33.8209,-84.3876,10,24,2016
BURGLARY-RESIDENCE,162981579,10/24/2016,1406 CENTRA VILLA DR SW,408,Venetian Hills,S,33.71702,-84.45269,10,24,2016
LARCENY-FROM VEHICLE,162981596,10/24/2016,694 DURANT PL NE,506,Midtown,E,33.77343,-84.37595999999999,10,24,2016
LARCENY-FROM VEHICLE,162981604,10/24/2016,1973 NORTHSIDE DR NW,205,Collier Hills,C,33.80911,-84.40742,10,24,2016
LARCENY-NON VEHICLE,162981615,10/24/2016,2310 MARTIN L KING JR DR SW,405,Florida Heights,I,33.75121,-84.46544,10,24,2016
ROBBERY-PEDESTRIAN,162981626,10/24/2016,333 PINE ST NE,603,Old Fourth Ward,M,33.76744,-84.37649,10,24,2016
LARCENY-FROM VEHICLE,162981629,10/24/2016,1400 ENGLISH ST NW,203,Blandtown,D,33.79482,-84.42063,10,24,2016
LARCENY-FROM VEHICLE,162981641,10/24/2016,782 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.77412,-84.36179,10,24,2016
BURGLARY-RESIDENCE,162981649,10/24/2016,1897 LAKEWOOD TER SE,307,Lakewood Heights,Y,33.70216,-84.38069,10,24,2016
BURGLARY-RESIDENCE,162981652,10/24/2016,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.7011,-84.46631,10,24,2016
BURGLARY-RESIDENCE,162981663,10/24/2016,230 JOHN WESLEY DOBBS AVE NE @JOHN HANCOCK BUILDI,510,Downtown,M,33.75756,-84.37980999999999,10,24,2016
LARCENY-FROM VEHICLE,162981679,10/24/2016,1892 HOWELL MILL RD NW,205,Wildwood (NPU-C),C,33.80673,-84.41315999999999,10,24,2016
AGG ASSAULT,162981681,10/24/2016,1192 PRYOR ST SW,304,Peoplestown,V,33.72287,-84.3928,10,24,2016
ROBBERY-PEDESTRIAN,162981699,10/24/2016,770 DECKNER AVE SW ,301,Capitol View,X,33.712720000000004,-84.41349,10,24,2016
LARCENY-FROM VEHICLE,162981714,10/24/2016,1462 LANVALE DR SW,403,Oakland City,S,33.72405,-84.43585,10,24,2016
LARCENY-FROM VEHICLE,162981757,10/24/2016,1349 W PEACHTREE ST NE,502,Midtown,E,33.79162,-84.3874,10,24,2016
LARCENY-FROM VEHICLE,162981908,10/24/2016,484 HOLDERNESS ST SW,401,West End,T,33.74184,-84.42692,10,24,2016
BURGLARY-RESIDENCE,162982021,10/24/2016,3996 PRINCETON LAKES WAY SW,414,Princeton Lakes,P,33.659259999999996,-84.51738,10,24,2016
LARCENY-NON VEHICLE,162982045,10/24/2016,3393 PEACHTREE RD NE,210,Lenox,B,33.846759999999996,-84.36211999999999,10,24,2016
AUTO THEFT,162982066,10/24/2016,178 MOURY AVE SW,305,The Villages at Carver,Y,33.71347,-84.39079,10,24,2016
LARCENY-FROM VEHICLE,162982140,10/24/2016,136 SAMPSON ST,604,Old Fourth Ward,M,33.75773,-84.36573,10,24,2016
LARCENY-FROM VEHICLE,162982200,10/24/2016,1300 LOGAN CIR NW,204,Underwood Hills,D,33.80495,-84.43066999999999,10,24,2016
LARCENY-FROM VEHICLE,162982238,10/24/2016,1790 HOWELL MILL RD NW,204,Underwood Hills,D,33.80352,-84.41455,10,24,2016
LARCENY-FROM VEHICLE,162982253,10/24/2016,1720 MARIETTA BLVD NW,203,Hills Park,D,33.80169,-84.43644,10,24,2016
LARCENY-FROM VEHICLE,162982258,10/24/2016,497 DARGAN PL SW,401,West End,T,33.74147,-84.42556,10,24,2016
LARCENY-NON VEHICLE,162982317,10/24/2016,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521,10,24,2016
LARCENY-FROM VEHICLE,162982332,10/24/2016,2020 BOLTON RD NW,203,Riverside,D,33.81125,-84.47594000000001,10,24,2016
AGG ASSAULT,162982345,10/24/2016,166 FLORIDA AVE SW,405,Florida Heights,I,33.75115,-84.46396,10,24,2016
LARCENY-NON VEHICLE,162982380,10/24/2016,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,10,24,2016
LARCENY-NON VEHICLE,162982386,10/24/2016,478 EDGEWOOD AVE SE ,604,Old Fourth Ward,M,33.75439,-84.37184,10,24,2016
BURGLARY-RESIDENCE,162982394,10/24/2016,60 CLEVELAND AVE SE,310,Browns Mill Park,Z,33.68115,-84.38661,10,24,2016
AUTO THEFT,162982409,10/24/2016,195 GLENROSE CIR SW,312,Glenrose Heights,Z,33.67143,-84.39536,10,24,2016
ROBBERY-PEDESTRIAN,162982417,10/24/2016,2517 DONALD LEE HOLLOWELL PKWY NW,109,Center Hill,J,33.77605,-84.46824000000001,10,24,2016
LARCENY-FROM VEHICLE,162982487,10/24/2016,MARTIN L KING JR DR NW / BARFIELD AVE SW,405,Florida Heights,I,33.75189,-84.46162,10,24,2016
LARCENY-FROM VEHICLE,162982504,10/24/2016,15TH ST NE / LAFAYETTE ST ,502,Ansley Park,E,33.7895,-84.37895,10,24,2016
AGG ASSAULT,162982520,10/24/2016,195 FAIRBURN RD NW,111,Adamsville,H,33.76126,-84.50433000000001,10,24,2016
LARCENY-NON VEHICLE,162982533,10/24/2016,BEECHER ST SW / CASCADE AVE SW,403,Cascade Avenue/Road,S,33.7334,-84.43754,10,24,2016
AUTO THEFT,162982563,10/24/2016,248 MAYNARD TER SE ,612,East Atlanta,W,33.74398,-84.33455,10,24,2016
LARCENY-NON VEHICLE,162982583,10/24/2016,72 BROAD ST SW,511,Downtown,M,33.75258,-84.39253000000001,10,24,2016
LARCENY-NON VEHICLE,162982660,10/24/2016,3815 MARTIN L KING JR DR NW,114,Old Gordon,H,33.76918,-84.51471,10,24,2016
LARCENY-NON VEHICLE,162982674,10/24/2016,333 PINE ST NE,603,Old Fourth Ward,M,33.76744,-84.37649,10,24,2016
LARCENY-NON VEHICLE,162982694,10/24/2016,703 HUTCHENS RD SE,313,South River Gardens,Z,33.66793,-84.36632,10,24,2016
LARCENY-NON VEHICLE,162982715,10/24/2016,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,10,24,2016
BURGLARY-RESIDENCE,162982722,10/24/2016,3270 WELLINGTON WALK SW,414,Princeton Lakes,P,33.6608,-84.51578,10,24,2016
LARCENY-NON VEHICLE,162982726,10/24/2016,3495 BUCKHEAD LOOP NE,208,North Buckhead,B,33.852090000000004,-84.3645,10,24,2016
RAPE,162982855,10/24/2016,1097 WESTVIEW DR SW,104,Ashview Heights,T,33.74714,-84.42341,10,24,2016
ROBBERY-RESIDENCE,162982861,10/24/2016,772 BENDER ST SW,302,Pittsburgh,V,33.73376,-84.40626,10,24,2016
LARCENY-NON VEHICLE,162982873,10/24/2016,835 MARTIN L KING JR DR NW,102,Vine City,L,33.75504,-84.41457,10,24,2016
AGG ASSAULT,162982876,10/24/2016,953 SW WASHINGTON ST,304,Peoplestown,V,33.72876,-84.39135,10,24,2016
AUTO THEFT,162982883,10/24/2016,1341 NORTHSIDE DR NW,207,Loring Heights,E,33.79169,-84.40743,10,24,2016
LARCENY-NON VEHICLE,162982895,10/24/2016,1117 LEE ST SW,402,Oakland City,S,33.72459,-84.42107,10,24,2016
ROBBERY-PEDESTRIAN,162982906,10/24/2016,2429 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75246,-84.46669,10,24,2016
LARCENY-NON VEHICLE,162988063,10/24/2016,12700 SPINE RD,703,,,33.64065,-84.42541,10,24,2016
LARCENY-NON VEHICLE,162928046,10/24/2016,7700 SPINE RD,706,,,33.64184,-84.4477,10,24,2016
AUTO THEFT,163041152,10/24/2016,1791 PIEDMONT AVE NE,213,Morningside/Lenox Park,F,33.803340000000006,-84.36673,10,24,2016
ROBBERY-PEDESTRIAN,162970007,10/23/2016,813 CONFEDERATE CT ,612,East Atlanta,W,33.74358,-84.34900999999999,10,23,2016
LARCENY-NON VEHICLE,162970017,10/23/2016,74 NORTHSIDE DR SW,507,Castleberry Hill,M,33.75267,-84.40252,10,23,2016
BURGLARY-RESIDENCE,162970064,10/23/2016,600 GREENSFERRY AVE SW,101,The Villages at Castleberry H,T,33.74662,-84.40755,10,23,2016
LARCENY-FROM VEHICLE,162970099,10/23/2016,3760 PRINCETON LAKES PKWY SW,414,Princeton Lakes,P,33.65806,-84.51051,10,23,2016
AUTO THEFT,162970128,10/23/2016,741 MOROSGO DR NE,211,Lindbergh/Morosgo,B,33.82266,-84.3643,10,23,2016
LARCENY-FROM VEHICLE,162970193,10/23/2016,98 WILLIAM H BORDERS DR SE @SELENA S BUTLER PARK,604,Sweet Auburn,M,33.75118,-84.37486,10,23,2016
LARCENY-NON VEHICLE,162970250,10/23/2016,2002 LAKEWOOD WAY SW @LAKEWOOD AMP,307,Lakewood Heights,Y,33.7007,-84.39835,10,23,2016
AUTO THEFT,162970291,10/23/2016,163 PETERS ST SW,507,Castleberry Hill,M,33.750209999999996,-84.39844000000001,10,23,2016
LARCENY-FROM VEHICLE,162970306,10/23/2016,3261 ROSWELL RD NE,208,Buckhead Forest,B,33.844559999999994,-84.37974,10,23,2016
ROBBERY-PEDESTRIAN,162970335,10/23/2016,648 HUGH ST SW,301,Adair Park,V,33.73345,-84.40897,10,23,2016
LARCENY-FROM VEHICLE,162970365,10/23/2016,3150 HOWELL MILL RD NW @JEWISH HOME,201,,C,33.83951,-84.42835,10,23,2016
AUTO THEFT,162970486,10/23/2016,181 RALPH D ABERNATHY BLVD SW,303,Mechanicsville,V,33.7369,-84.39333,10,23,2016
LARCENY-NON VEHICLE,162970599,10/23/2016,3771 ROSWELL RD NE,209,North Buckhead,B,33.8575,-84.38159,10,23,2016
ROBBERY-PEDESTRIAN,162970638,10/23/2016,595 NORTH AVE NW,103,English Avenue,L,33.77013,-84.40695,10,23,2016
LARCENY-FROM VEHICLE,162970785,10/23/2016,100 LUCKIE ST NW,508,Downtown,M,33.7573,-84.38991999999999,10,23,2016
BURGLARY-NONRES,162970818,10/23/2016,2975 HEADLAND DR SW,411,Greenbriar,R,33.69168,-84.4872,10,23,2016
LARCENY-FROM VEHICLE,162970964,10/23/2016,146 7TH ST NE,505,Midtown,E,33.77868,-84.3824,10,23,2016
LARCENY-FROM VEHICLE,162971015,10/23/2016,265 PONCE DE LEON AVE NE,505,Midtown,E,33.772059999999996,-84.37869,10,23,2016
LARCENY-FROM VEHICLE,162971047,10/23/2016,2726 DEERWOOD LN SW,414,Ben Hill,P,33.67266,-84.5152,10,23,2016
LARCENY-FROM VEHICLE,162971092,10/23/2016,229 MAPLE ST NW,102,Vine City,L,33.760909999999996,-84.40513,10,23,2016
AGG ASSAULT,162971102,10/23/2016,389 HOLDERNESS ST SW,401,West End,T,33.74443,-84.42732,10,23,2016
LARCENY-FROM VEHICLE,162971104,10/23/2016,244 GIBSON ST SE,606,Reynoldstown,N,33.74735,-84.35554,10,23,2016
LARCENY-NON VEHICLE,162971144,10/23/2016,44 PEACHTREE PL NW,503,Midtown,E,33.78045,-84.38923,10,23,2016
LARCENY-FROM VEHICLE,162971164,10/23/2016,240 N HIGHLAND AVE NE,602,Inman Park,N,33.761829999999996,-84.36026,10,23,2016
AUTO THEFT,162971168,10/23/2016,1542 MARKAN DR NE,213,,,33.79605,-84.34318,10,23,2016
LARCENY-FROM VEHICLE,162971211,10/23/2016,678 YORKSHIRE RD NE,213,Morningside/Lenox Park,F,33.79547,-84.36495,10,23,2016
LARCENY-FROM VEHICLE,162971259,10/23/2016,590 W PEACHTREE ST NW @RENAISSANCE HOTEL,509,Downtown,M,33.77023,-84.38815,10,23,2016
AGG ASSAULT,162971266,10/23/2016,945 HARWELL ST NW,105,Washington Park,K,33.755759999999995,-84.41853,10,23,2016
AGG ASSAULT,162971293,10/23/2016,224 FLETCHER ST SW,302,Pittsburgh,V,33.72551,-84.39546999999999,10,23,2016
BURGLARY-RESIDENCE,162971340,10/23/2016,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276,10,23,2016
BURGLARY-RESIDENCE,162971365,10/23/2016,3804 MARTIN L KING JR DR SW @GORDON FOREST APT,114,Old Gordon,H,33.767070000000004,-84.51461,10,23,2016
LARCENY-NON VEHICLE,162971393,10/23/2016,4596 CLUB DR NE,209,Brookhaven,B,33.87738,-84.34980999999999,10,23,2016
LARCENY-FROM VEHICLE,162971411,10/23/2016,1955 COMPTON DR SE @SOUTH BEND PARK,307,Lakewood Heights,Y,33.7009,-84.38279,10,23,2016
BURGLARY-RESIDENCE,162971432,10/23/2016,385 LEGACY DR SW,104,Harris Chiles,T,33.74494,-84.41937,10,23,2016
LARCENY-NON VEHICLE,162971455,10/23/2016,2900 PEACHTREE RD NW @PUBLIX - PEACHTREE,206,Peachtree Heights West,B,33.83399,-84.3841,10,23,2016
LARCENY-NON VEHICLE,162971459,10/23/2016,950 W PEACHTREE ST NW ,503,Midtown,E,33.78014,-84.38747,10,23,2016
AUTO THEFT,162971470,10/23/2016,2885 LAKEWOOD AVE SW,306,Sylvan Hills,X,33.697309999999995,-84.41113,10,23,2016
LARCENY-FROM VEHICLE,162971530,10/23/2016,920 SELLS AVE SW,104,Harris Chiles,T,33.74532,-84.4182,10,23,2016
AUTO THEFT,162971567,10/23/2016,651 COMMERCIAL AVE NW,109,Center Hill,J,33.77279,-84.47108,10,23,2016
LARCENY-FROM VEHICLE,162971574,10/23/2016,1210 CAROLINE ST NE,609,Edgewood,O,33.75938,-84.34863,10,23,2016
AUTO THEFT,162971582,10/23/2016,3669 POWERS FERRY RD NE,209,East Chastain Park,B,33.85641,-84.38288,10,23,2016
LARCENY-FROM VEHICLE,162971589,10/23/2016,556 NORTHSIDE DR SW,303,Pittsburgh,V,33.74007,-84.40778,10,23,2016
LARCENY-NON VEHICLE,162971599,10/23/2016,4389 ROSWELL RD NE,209,North Buckhead,B,33.87454,-84.38078,10,23,2016
AUTO THEFT,162971658,10/23/2016,3405 LENOX RD NE ,210,Lenox,B,33.848,-84.35947,10,23,2016
LARCENY-FROM VEHICLE,162971677,10/23/2016,1750 HOWELL MILL RD NW,204,Berkeley Park,D,33.80089,-84.4157,10,23,2016
LARCENY-FROM VEHICLE,162971720,10/23/2016,9 CARLTON DR NE,202,East Chastain Park,A,33.87236,-84.38748000000001,10,23,2016
LARCENY-FROM VEHICLE,162971725,10/23/2016,610 SPRING ST NW,509,Downtown,M,33.77101,-84.38895,10,23,2016
LARCENY-FROM VEHICLE,162971796,10/23/2016,1968 PEACHTREE RD NW,207,,E,33.81,-84.39583,10,23,2016
LARCENY-NON VEHICLE,162971852,10/23/2016,30 NORTH AVE NE,505,Midtown,E,33.7716,-84.38643,10,23,2016
LARCENY-NON VEHICLE,162971869,10/23/2016,2625 PIEDMONT RD NE,211,Lindbergh/Morosgo,B,33.827420000000004,-84.36532,10,23,2016
ROBBERY-PEDESTRIAN,162971888,10/23/2016,201 MOURY AVE SW,305,The Villages at Carver,Y,33.71691,-84.39276,10,23,2016
LARCENY-FROM VEHICLE,162971913,10/23/2016,365 CLEVELAND AVE SE @SOUTHEAST ATLANTA,312,Rosedale Heights,Z,33.67953,-84.37899,10,23,2016
LARCENY-NON VEHICLE,162971954,10/23/2016,1083 WESTVIEW DR SW,104,Ashview Heights,T,33.74725,-84.42314,10,23,2016
BURGLARY-RESIDENCE,162972028,10/23/2016,1155 LAVISTA RD NE,212,Lindridge/Martin Manor,F,33.818059999999996,-84.35082,10,23,2016
ROBBERY-PEDESTRIAN,162972038,10/23/2016,1935 ALISON CT SW,410,Fort Valley,R,33.70055,-84.45149,10,23,2016
AUTO THEFT,162972069,10/23/2016,645 SHELTON AVE SW,301,Adair Park,V,33.7345,-84.40997,10,23,2016
